评论ID,昵称,用户ID,用户sec_id,头像,地区,时间,评论,点赞数,回复数,回复给用户,回复给用户ID,是否置顶,是否热评,包含话题,提及用户
7507625909693039423,棋棋1102,87761611655,MS4wLjABAAAAir3SzAGiUX1ThGKIT_TdEO1-h4IuqORWDM7EG8PEbMc,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_edbb3d586277ee65aafe7577f95e3227.jpeg?from=2064092626,湖南,2025-05-23 21:02:57,雷总，我刚提车十天，被网暴了十天，从来不说粗口的我，与黑粉对骂了几天[流泪],120,18,,,否,否,,
7506881578614735675,鑫河车机,3318751792735328,MS4wLjABAAAANNWgCK0wglqJMiBk8k69F4R1KEQTeKTQ2xpJ2cc_9Uj-RU6D5vCd8bbz_St-9fR1,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_17e2eb811ff3b2760527e5266eb1d654.jpeg?from=2064092626,江苏,2025-05-21 20:54:31,雷总你冷战期间，我偷偷去买了一部 512G+16G的小米15，下次别再冷战了，我已经没钱了,719,51,,,否,否,,
7506603418384368444,炸丸子,99907808631,MS4wLjABAAAAQpwz4rYpjqy5QLKAkv0tyv8YLppLSZK2Kgr-vmyoAcE,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_02ab4fe0fc7d42f38256713ce5ae1c06.jpeg?from=2064092626,云南,2025-05-21 02:55:20,雷爸 以后不准和我们冷战了[流泪],152,6,,,否,否,,
7506484813844185890,@爱你一万年,1797054772550670,MS4wLjABAAAAa_0ivBpm4YeKmz_Q33G1G_0A9sV4Ybrpbxf50DhitHVj4OMEuAQcf_jRl0PzBkvr,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oQdBeFXcDIM3PiAAxiAA8AQeNwQc7FKBGAiPfE.jpeg?from=2064092626,山西,2025-05-20 19:35:55,军儿，你终于回来了 [流泪]， 不要再断更了，你不在时每隔几天我都要来看看你发视频了没,5665,78,,,否,否,,
7507672331880776463,诛戮陷绝,71716676720,MS4wLjABAAAAXNipfx-WnaoQj1nHNdNa_cC9fzh_51fnJKTTP6Jfugg,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ogbC7cHAAACDAcgwJJnfCkIIuEASgt9j7ekACo.jpeg?from=2064092626,新疆,2025-05-24 00:03:12,[微笑]为什么不早说，我上个月刚买的15，我想用用玄界。,0,0,,,否,否,,
7506486944446300979,卢伟冰,2544737774480633,MS4wLjABAAAAeeGpeTBNIRe66uQLgsFZmiRXR4GEQnh6FCtORpNOjXMPVjYqkmDeDtYhzBirNj_k,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oIz1AhKAFIA5LfdA1CctDn9p3bAaCegjPyE4AA.jpeg?from=2064092626,北京,2025-05-20 19:23:13,5月22日，发布会见！[爱心],2279,143,,,否,否,,
7506488223708889867,🌈带努比的二明,85271783837,MS4wLjABAAAABCaMkM4yYIo56epa-TYx3MRfbHUmvx_jhnrROzH9gDs,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_a0c35b5fe71acd688f89782beadd1e86.jpeg?from=2064092626,广东,2025-05-20 19:55:42,爸吃饭了吗,55,23,,,否,否,,
7506537868958892800,小汪哥精致男装,1084535024136804,MS4wLjABAAAA_rkgRekkXc9BqXuVcgu3dLgzqqzkLBJt7qpkFVELHDTchJ0AUKBkr9rocCZrJl4K,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_f16a5d1a8b1d44635794d759eca66d40.jpeg?from=2064092626,重庆,2025-05-20 23:01:18,支持雷军的有多少,657,31,,,否,否,,
7506494061470663465,做个向日葵,97352596218,MS4wLjABAAAAOC1_YnR8s2eI8819pC0xBpwdUNWzt1V1Y1UQIuf0G1M,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_3a65ef707b78443bb201bf8bcfae01ff.jpeg?from=2064092626,湖南,2025-05-20 20:07:28,雷总，终于回来了，想死你了,1151,10,,,否,否,,
7506543779400254223,真由美🎖,7411158697970304059,MS4wLjABAAAAnWoUhTX74tn3ekpwq8hYuEcaozWIqL5ufhyVrEdGzBwc0sG5xZny3l1Ocg59kBo1,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_bdd4a061a7958126e3580b7b94852a4d.jpeg?from=2064092626,重庆,2025-05-20 23:03:47,帅不帅你们说[舔屏],5306,472,,,否,否,,
7506578153490547492,蜜雪冰城（福州总店）,3496062407160124,MS4wLjABAAAA7R_qUDVMbBZDIroUyQx9ptCrxpNVlsMRKBSKvd0u1z4641KVK8vKDaH0P0Yb9AbT,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o4DGCA9AIAAbaQBeAmAgQ0ifCC8WYVPnl5rhh9.jpeg?from=2064092626,福建,2025-05-21 01:17:21,爸,443,58,,,否,否,,
7506848922740982566,卡通,2546112058894104,MS4wLjABAAAAk96fCkeU6KcVzYwIjBwiannGRfY1MoLgWOYvMjm-_0kUquq_otRmSXqHCqkDQpJp,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/mosaic-legacy_3797_2889309425.jpeg?from=2064092626,广西,2025-05-21 18:47:50,爸，吃了吗？,1141,252,,,否,否,,
7506492129842217768,青禾,64301672255,MS4wLjABAAAAgEDqvTfEbI8noWC1J2SkJvWiwb_iKl_RBUCErHhyiiw,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oEcAyiAsigXDzPy9BIhpZj1iEA7A4Oz3PgIAP.jpeg?from=2064092626,河南,2025-05-20 19:58:04,冷战结束，雷总回来啦,999,8,,,否,否,,
7506536991661245242,南重小肖,1279473564788093,MS4wLjABAAAAxbhMheOU0lQ5krDTRGD1R6g9WC-BcQNy4YaiLT9QFmTMESLdzorHt0PpCfydBneV,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_3137c6d29dabe13b8bc7790f03ec95db.jpeg?from=2064092626,广东,2025-05-20 22:37:21,米粉今天领证啦[抱抱你],509,53,,,否,否,,
7506550905915982650,王六六,69232476424,MS4wLjABAAAA77RVJV-6zevOEmadycWZZQjQ8lZwdCMBdmkaYDVN2z0,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_c52ecdfe87854914948071dc24442d71.jpeg?from=2064092626,江苏,2025-05-20 23:31:21,雷总 我的小米6为啥总是发烫呀[看],513,82,,,否,否,,
7506755771851391803,昏君不吃鱼,3019677097539415,MS4wLjABAAAASAtgMxIM7KeG8dKvLaRANhrIjwez7Vdo2L-hdAOgkNzNiL7p1X5KEp91Jx756fsK,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/douyin-user-image-file_85ab3a39770bf1d23b032e7abb2d0682.jpeg?from=2064092626,北京,2025-05-21 12:46:21,您好，雷总，我们是从西安到北京度蜜月的小米 su7 车主，我本人也是红米 turbo 4 pro 手机用户， 我和我的妻子很早之前就已经确定今天到北京了，没想到刚好遇到了明天是发布会，能不能让我们近距离的参加一下发布会🎉('ω')🎉感谢🙏,403,42,,,否,否,,
7506548565968814875,腾飞,954029966884967,MS4wLjABAAAAX29QOfYJnwJKi3bStCXfymChXaY8HhEmEppdw96rJ3g,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_9ee4a3a2a2ba6077d7fced2858c75bd3.jpeg?from=2064092626,广东,2025-05-20 23:22:18,爹，吃饭了吗？[偷笑],24,6,,,否,否,,
7506583171318170428,By,81801015985242,MS4wLjABAAAAYaFXru45hASQuh9AdF9VpO3HsTfMCWl1Q4lbZ-50zxE,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ocf5cmACfACMA2DxAnouJRIg2F9HnrBAGDEEA6.jpeg?from=2064092626,广东,2025-05-21 01:36:43,我老总圈唯一人脉终于回来了,747,7,,,否,否,,
7507664223754060603,用户7823815321920,910018155381435,MS4wLjABAAAA1QYmS_Wju2LEHigo5yxs5rdvA201sDGydNS1SvJwFAo,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_42550a394ef049da86d194c1a78ccff6.jpeg?from=2064092626,福建,2025-05-23 23:31:36,,23,1,,,否,否,,
7506488070751437625,A.R,4305321844552584,MS4wLjABAAAAsAEfNyY5D-kUae2B6Up1OX5hJF6uurc8Q4cYbS1VyInMZisMro6VvqfMrFsb91tk,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_owK9fkECXABqXQeRAUEV84wEDfAGFEAUzEAnPI.jpeg?from=2064092626,云南,2025-05-20 19:27:32,爸你终于回来了,228,14,,,否,否,,
7506481351215579942,🌈Y h,59237659425,MS4wLjABAAAAo9spT8FJ4Zdwm7gq0vsXbu6lpauaMK3YYpc9JzvnuJo,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ooxAfC8XVInxkwAAHAAgbTDAl6QS9WaADAeVoC.jpeg?from=2064092626,江苏,2025-05-20 19:01:30,雷总，我的小米14聊天刷视频都烫手[尬笑][尬笑][尬笑],573,215,,,否,否,,
7506847770889274131,Moonlight,262129025558627,MS4wLjABAAAAsWAwmD2f53hsOt1J4LWp3TtJcEZo6JaOJGrdk8f2S0g,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_40dcb9b98afe1aacf814e5fcac697eb0.jpeg?from=2064092626,江苏,2025-05-21 18:43:24,雷总，下次不要和我们冷战了[流泪],1589,20,,,否,否,,
7506486988432016180,一枕清风明月,1516964907065831,MS4wLjABAAAAGfvWblt_lzcqneYBZKw_YU309MWbISyCUGK4y7W6S_zsjC8LXNc1UMk8l9yhv_j6,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oAHICO1HAD3F6Nmo0OFAg4QE9AsfAvXfAACnAG.jpeg?from=2064092626,陕西,2025-05-20 19:57:19,别人不断的黑小米，小米还能像个巨人一样屹立不倒，这才是真正用心的企业。希望小米越来越好,164,0,,,否,否,,
7507117301013218060,段小林儿,94921424644,MS4wLjABAAAAt9OH_Q5CUpi-6Di19lh2SJf9up1p0E1Bc4aKeX7QxRI,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_a35920346420a0b987cfea605d0df79f.jpeg?from=2064092626,云南,2025-05-22 12:09:23,爸，吃饭了吗[比心],464,92,,,否,否,,
7507258796034999049,您保重,1357254247323852,MS4wLjABAAAAP7Aowepq-AGwKjhzadPqrhyn0EsecEThdcLn-Qbrtipk-sOGsRuRbdbofNMLCOi7,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_owh6YAATnDAT9YXyCziigTBCAeA9lVAIEKfQDX.jpeg?from=2064092626,山东,2025-05-22 21:18:24,盲猜开始了！来！大家出个价,26,15,,,否,否,,
7506533584396714812,卡皮丘,100702910418,MS4wLjABAAAAEkuLBz4Ykj64bc-dDtgim4hbLXkQARFbkdP87Drr3vs,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_a03d4f85ea88a5e9adb8fabdd8c004e8.jpeg?from=2064092626,重庆,2025-05-20 22:24:07,下次再冷暴力试试,997,13,,,否,否,,
7506493511123043091,橘子苹果大菠萝,95583713531,MS4wLjABAAAAsFlxJPhfZOiNM1-n_0_T7zruEotyvibeTw1grNmUzrM,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_2be01d94027c4da2b470a0a39d3a6d31.jpeg?from=2064092626,广东,2025-05-20 20:05:20,爸爸你为什么这么久了才回来 [流泪],499,19,,,否,否,,
7506484883049923387,梗姐姐,3474112572840599,MS4wLjABAAAARhMLBRHP-d570w9GcmOi_I6luP9gMqQco9HE-O94jnJA2ORTfzMFKt24ncmfKTYp,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_30a0e659e2bd5dff0ddbf7dd553dbdf0.jpeg?from=2064092626,北京,2025-05-20 19:15:09,爸，我盲订15s pro了！[得意],207,17,,,否,否,,
7506484189350183719,杨林灿,3056230252949075,MS4wLjABAAAALNXq-4C-8hWZcJSwdpfN6hywSdVua0Om0rghJFWCH1UQHxNqlz3IXoyMXkkdt4CO,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/mosaic-legacy_2e3320001b947f2879603.jpeg?from=2064092626,上海,2025-05-20 19:12:32,小米为国人为国家做出重大贡献，为雷总点赞[赞][赞][赞][鼓掌][鼓掌][鼓掌][平安果][平安果][平安果],77,2,,,否,否,,
7506564456395080463,怜悯,65423123801,MS4wLjABAAAAPCZnpMKZhG_C12PfbP3i1jRnsBkfUPbDLkQpGIGPGfI,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oMnACra0IC6EjAF9fAbIpAgAAWAJg6fBhgODEb.jpeg?from=2064092626,湖南,2025-05-21 00:24:03,雷总，能不能解决一下小米十五发烫问题,51,55,,,否,否,,
7506531888698524431,ZhanG,86955928420,MS4wLjABAAAAc_kvIRbOCm26kwKQ8BiopdI2qiWiQWPg52oSV_tRKzA,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_9c9933d4e9b817ff1d13d80b6d632d5e.jpeg?from=2064092626,浙江,2025-05-20 22:17:35,那我的小米15 Pro算什么[泪奔][泪奔][泪奔],27,14,,,否,否,,
7507124521351807796,Doki兜兜,3426539489728047,MS4wLjABAAAAJ8IxviJWeiEjCX9sDmMXf-1ZDIsP-6oS5l7F-yLc1ATKhYvb-uQE03n9hEsDg0Fw,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_105c8ede9583aca43d63dab0ee6e06d6.jpeg?from=2064092626,北京,2025-05-22 12:37:21,雷总你好，我5.20那天刚提了Ultra ，超级无敌帅，而且我们车主群里从来没有一个人提过想不要这辆车，非常支持您！顺便提一句，我做汽车主播几年了，前几天听说yu7在招主播，我第一时间报名但是我并没有收到面试信息，非常遗憾，所以在这里自荐一下，以后如果有需要，希望您的团队可以考虑我，以下是我的照片。,290,17,,,否,否,,
7506904505452675900,瑶瑶²⁰²⁵～,100323943278,MS4wLjABAAAAxDeDUYDMIdx-XKOPNVa5mj3nwEDAFA4tsMoR0ujcKeA,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_86f6c561441abeec4cf2a83421d25cdf.jpeg?from=2064092626,江西,2025-05-21 22:23:30,爸，你吃饭了吗,377,88,,,否,否,,
7507667954403312422,— —,98126385233,MS4wLjABAAAATSI9bEfcSOY3qPMvpUkYJ6KrWKLpXG8SYpWbEGpRYkw,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_fd8dbd2a5eca4d1aa52dee64ffb00fdf.jpeg?from=2064092626,新疆,2025-05-23 23:46:10,雷总出啥都无脑支持,2,1,,,否,否,,
7506489714263147290,鬼畜眼镜,1614548231792604,MS4wLjABAAAAqeBDFrUNu6SdHluquTGprkHKSm48rthMBOCYY9UA6WH13ejk42hIY5ACvRRYuqRd,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_69c10b7fd32948c7809b93d9ad67b536.jpeg?from=2064092626,天津,2025-05-20 19:33:56,有人想让小米死[抠鼻],17,0,,,否,否,,
7506568967345275706,独秀青春,1833615464871400,MS4wLjABAAAA8IPy93oRYYhkqxjwLDv2xKBIkRhoa4ZqT-DIUh0YEBppKDdfZ-dFBJeZcS7EVLAf,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_oMfKAFgAeOPAEgEp7rlFQB7DEjAIYI7x4f8AAJ.jpeg?from=2064092626,广西,2025-05-21 00:41:32,卖1999价格吧对得起所有米粉[大笑],27,4,,,否,否,,
